两杆大烟枪,"Lock, Stock and Two Smoking Barrels",1998,9.1,523934,['4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。'],https://movie.douban.com/subject/1293350/
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,2008,9.1,462025,['尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。'],https://movie.douban.com/subject/3008247/
西西里的美丽传说,Malèna,2000,8.9,848658,['美丽无罪。'],https://movie.douban.com/subject/1292402/
看不见的客人,Contratiempo,2016,8.8,1069405,['你以为你以为的就是你以为的。'],https://movie.douban.com/subject/26580232/
飞越疯人院,One Flew Over the Cuckoo's Nest,1975,9.1,491556,['自由万岁。'],https://movie.douban.com/subject/1292224/
拯救大兵瑞恩,Saving Private Ryan,1998,9.0,561820,['美利坚精神输出大片No1.'],https://movie.douban.com/subject/1292849/
音乐之声,The Sound of Music,1965,9.1,520531,['用音乐化解仇恨，让歌声串起美好。'],https://movie.douban.com/subject/1294408/
小鞋子,بچه های آسمان,1997,9.2,353713,['奔跑的孩子是天使。'],https://movie.douban.com/subject/1303021/
阿凡达,Avatar,2009,8.8,1216159,['绝对意义上的美轮美奂。'],https://movie.douban.com/subject/1652587/
海豚湾,The Cove,2009,9.3,324886,['海豚的微笑，是世界上最高明的伪装。'],https://movie.douban.com/subject/3442220/
致命魔术,The Prestige,2006,8.9,745853,['孪生蝙蝠侠大战克隆金刚狼。'],https://movie.douban.com/subject/1780330/
沉默的羔羊,The Silence of the Lambs,1991,8.9,752982,['安东尼·霍普金斯的顶级表演。'],https://movie.douban.com/subject/1293544/
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,2011,8.9,696263,['10年的完美句点。'],https://movie.douban.com/subject/3011235/
美国往事,Once Upon a Time in America,1984,9.2,358182,['往事如烟，无处祭奠。'],https://movie.douban.com/subject/1292262/
禁闭岛,Shutter Island,2010,8.8,829972,['昔日翩翩少年，今日大腹便便。'],https://movie.douban.com/subject/2334904/
蝴蝶效应,The Butterfly Effect,2004,8.8,810323,['人的命运被自己瞬间的抉择改变。'],https://movie.douban.com/subject/1292343/
布达佩斯大饭店,The Grand Budapest Hotel,2014,8.9,780049,['小清新的故事里注入了大历史的情怀。'],https://movie.douban.com/subject/11525673/
心灵捕手,Good Will Hunting,1997,8.9,613275,['人生中应该拥有这样的一段豁然开朗。'],https://movie.douban.com/subject/1292656/
低俗小说,Pulp Fiction,1994,8.9,720700,['故事的高级讲法。'],https://movie.douban.com/subject/1291832/
春光乍泄,春光乍洩,1997,9.0,544096,['爱情纠缠，男女一致。'],https://movie.douban.com/subject/1292679/
摩登时代,Modern Times,1936,9.3,254526,['大时代中的人生，小人物的悲喜。'],https://movie.douban.com/subject/1294371/
七宗罪,Se7en,1995,8.8,834014,['警察抓小偷，老鼠玩死猫。'],https://movie.douban.com/subject/1292223/
喜剧之王,喜劇之王,1999,8.8,834978,['我是一个演员。'],https://movie.douban.com/subject/1302425/
致命ID,Identity,2003,8.8,699328,['最不可能的那个人永远是最可能的。'],https://movie.douban.com/subject/1297192/
被嫌弃的松子的一生,嫌われ松子の一生,2006,8.9,628943,['以戏谑来戏谑戏谑。'],https://movie.douban.com/subject/1787291/
杀人回忆,살인의 추억,2003,8.9,595191,['关于连环杀人悬案的集体回忆。'],https://movie.douban.com/subject/1300299/
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.8,751328,['约翰尼·德普的独角戏。'],https://movie.douban.com/subject/1298070/
红辣椒,パプリカ,2006,9.0,376458,['梦的勾结。'],https://movie.douban.com/subject/1865703/
狩猎,Jagten,2012,9.1,327636,['人言可畏。'],https://movie.douban.com/subject/6985810/
剪刀手爱德华,Edward Scissorhands,1990,8.7,935518,['浪漫忧郁的成人童话。'],https://movie.douban.com/subject/1292370/
请以你的名字呼唤我,Call Me by Your Name,2017,8.9,604332,['沉醉在电影的情感和视听氛围中无法自拔。'],https://movie.douban.com/subject/26799731/
勇敢的心,Braveheart,1995,8.9,509439,['史诗大片的典范。'],https://movie.douban.com/subject/1294639/
7号房的礼物,7번방의 선물,2013,8.9,476385,['《我是山姆》的《美丽人生》。'],https://movie.douban.com/subject/10777687/
功夫,功夫3D  /  Kung Fu Hustle,2004,8.7,913561,['警恶惩奸，维护世界和平这个任务就交给你了，好吗？'],https://movie.douban.com/subject/1291543/
超脱,Detachment,2011,8.9,455677,['穷尽一生，我们要学会的，不过是彼此拥抱。'],https://movie.douban.com/subject/5322596/
断背山,Brokeback Mountain,2005,8.8,627719,['每个人心中都有一座断背山。'],https://movie.douban.com/subject/1418834/
