红富士苹果,烟台市 ,￥2.00每斤,2021-12-02
红富士苹果,延安市 ,￥2.00每斤,2021-12-02
橙子,重庆 ,￥2.00每斤,2021-12-02
其他,运城市 ,￥1.00每棵,2021-12-01
其他,漳州市 ,￥3.50每斤,2021-12-01
草莓,青岛市 ,￥8.00每斤,2021-12-01
桔子,重庆 ,￥1.80每斤,2021-12-01
橙子,崇左市 ,￥1.10每斤,2021-11-30
橙子,贺州市 ,￥2.80每斤,2021-11-30
其他,运城市 ,￥15.00每棵,2021-11-30
桔子,南宁市 ,￥5.00每斤,2021-11-29
红果,日照市 ,￥0.60每斤,2021-11-29
桔子,怀化市 ,￥3.00每斤,2021-11-29
其他,运城市 ,￥1.00每棵,2021-11-29
红富士苹果,烟台市 ,￥3.00每斤,2021-11-29
枣,沧州市 ,￥3.00每斤,2021-11-29
其他,运城市 ,￥1.00每棵,2021-11-29
其他,运城市 ,￥1.00每棵,2021-11-29
其他,运城市 ,￥25.00每棵,2021-11-28
桔子,宁波市 ,￥20.00每斤,2021-11-28
其他,南宁市 ,￥4.00每斤,2021-11-27
其他,济南市 ,￥5.20每斤,2021-11-27
柠檬,玉林市 ,￥1.00每棵,2021-11-27
其他,玉林市 ,￥10.00每棵,2021-11-26
大桃,玉林市 ,￥12.00每棵,2021-11-26
石榴,玉林市 ,￥10.00每棵,2021-11-26
红富士苹果,日照市 ,￥0.60每斤,2021-11-25
枣,玉林市 ,￥10.00每棵,2021-11-25
其他,运城市 ,￥25.00每棵,2021-11-25
桔子,德阳市 ,￥3.00每斤,2021-12-21
桔子,玉林市 ,￥5.00每斤,2021-12-21
桔子,玉林市 ,￥5.00每斤,2021-12-20
其他,运城市 ,￥8.00每棵,2021-12-20
柠檬,商丘市 ,￥2.80每斤,2021-12-19
其他,运城市 ,￥25.00每棵,2021-12-19
梨,阿拉尔市 ,￥2.00每斤,2021-12-19
枣,滨州市 ,￥0.50每斤,2021-12-19
砂糖橘,桂林市 ,￥1.20每斤,2021-12-19
砂糖橘,桂林市 ,￥2.30每斤,2021-12-19
砂糖橘,河源市 ,￥1.80每斤,2021-12-18
苹果,随州市 ,￥10000.00每件,2021-12-17
砂糖橘,桂林市 ,￥1.40每斤,2021-12-17
砂糖橘,吉安市 ,￥3.00每斤,2021-12-17
梨,衡水市 ,￥1.30每斤,2021-12-17
梨,衡水市 ,￥1.30每斤,2021-12-16
其他,运城市 ,￥1.00每棵,2021-12-15
榴梿,国外进口 ,￥0.00每公斤,2021-12-15
橙子,重庆 ,￥40.00每箱,2021-12-15
红富士苹果,衡水市 ,￥0.75每斤,2021-12-15
红提,青岛市 ,￥4.00每斤,2021-12-15
其他,运城市 ,￥5.00每棵,2021-12-14
橙子,重庆 ,￥4.50每斤,2021-12-14
其他,漳州市 ,￥0.00每个,2021-12-14
桔子,文山壮族苗族自治州 ,￥1.50每斤,2022-03-16
桔子,乐山市 ,￥3.50每斤,2022-03-15
其他,梧州市 ,￥2.00每斤,2022-03-15
李子,黔西南布依族苗族自治州 ,￥45.00每斤,2022-03-15
其他,临沂市 ,￥13.00每斤,2022-03-14
杏子,重庆 ,￥1.00每棵,2022-03-14
柠檬,漳州市 ,￥8.00每斤,2022-03-14
李子,阿坝藏族羌族自治州 ,￥3.20每斤,2022-03-13
哈密瓜,台州市 ,￥35.00每箱,2022-03-13
芒果,海口市 ,￥9.90每箱,2022-03-13
樱桃,淄博市 ,￥200.00每箱,2022-03-12
桔子,贺州市 ,￥188.00每箱,2022-03-11
其他,资阳市 ,￥46.90每斤,2022-03-11
人参果,昆明市 ,￥5.00每斤,2022-03-11
桔子,雅安市 ,￥0.70每斤,2022-03-11
桔子,南宁市 ,￥195.00每箱,2022-03-11
